sqlzoo_id	title	yr	director	budget	gross	actors
21095	Titanic	1953	11567	1805000	2250000	2198::Thelma Ritter|2311::Robert Wagner|2463::Barbara Stanwyck|7705::Allyn Joslyn|9685::Richard Basehart|11568::Clifton Webb|15714::Audrey Dalton|21527::Brian Aherne|31536::Edmund Purdom|37235::Ron Hagerthy|45840::Harper Carter|45841::Frances Bergen|45843::Charles B. Fitzsimons
14647	Jurassic Park	1993	1375	63000000	914691118	185::Richard Attenborough|341::Samuel L. Jackson|2838::Whit Hertford|2896::Laura Dern|6790::Ariana Richards|7010::Jeff Goldblum|9101::Wayne Knight|10163::Sam Neill|20061::B. D. Wong|22441::Martin Ferrero|26845::Joseph Mazzello|26846::Bob Peck|26847::Cameron Thor|26848::Greg Burson
17707	Spider-Man	2002	3135	140000000	821708551	243::James Franco|1181::Cliff Robertson|4441::Willem Dafoe|5362::J. K. Simmons|9390::Rosemary Harris|11989::Kirsten Dunst|12217::Tobey Maguire|12459::Bill Nunn|17536::Elizabeth Banks|19768::Michael Papajohn|37023::Joe Manganiello
12786	E.T. the Extra-Terrestrial	2002	1375	10500000	792910554	181::Dee Wallace|230::Henry Thomas|1071::Drew Barrymore|3590::Peter Coyote|11427::Erika Eleniak|19201::Robert MacNaughton|19202::K. C. Martel
18781	The Da Vinci Code	2006	1396	125000000	758239851	1398::Paul Bettany|1917::Jürgen Prochnow|2370::Tom Hanks|3821::Alfred Molina|5039::Ian McKellen|5846::Audrey Tautou|7509::Jean Reno|24247::Jean-Yves Berteloot|28380::Jean-Pierre Marielle|37963::Seth Gabel|40030::Charlotte Graham|40031::Etienne Chicot|40032::Hugh Mitchell
13312	Forrest Gump	1994	1597	55000000	677387716	1376::Haley Joel Osment|2370::Tom Hanks|2582::Gary Sinise|2828::Dick Cavett|3939::Sally Field|4565::Mykelti Williamson|8397::Siobhan Fallon Hogan|13854::Tom Hanks|13859::Geoffrey Blake|15505::Grand L. Bush|17611::Robin Wright|19044::Peter Dobson|21552::Sam Anderson|21554::Sonny Shroyer|21555::Bill Roberson
20476	The Sixth Sense	1999	27847	40000000	672806292	274::Bruce Willis|997::Glenn Fitzgerald|1376::Haley Joel Osment|6334::Olivia Williams|6917::Donnie Wahlberg|14179::Toni Collette|24568::Mischa Barton|26850::Trevor Morgan|27847::M. Night Shyamalan
10672	Anchorman: The Legend of Ron Burgundy	2004	6510	26000000	90336354	446::Vince Vaughn|852::Luke Wilson|2105::David Koechner|2671::Fred Willard|2713::Will Ferrell|3526::Danny Trejo|4776::Jack Black|4856::Jerry Stiller|5714::Ben Stiller|5816::Christina Applegate|6510::Adam McKay|6511::Paul Rudd|6512::Steve Carell|6513::Chris Parnell|6514::Tim Robbins|6515::Seth Rogen|6516::Judd Apatow|6517::Paul F. Tompkins|6518::Jay Johnston|6519::Robin Antin|6520::Fred Armisen|6521::Jimmy Bennett
12397	Dead Man Walking	1995	6514	11000000	86387284	647::Sean Penn|1919::Susan Sarandon|4522::Celia Weston|4776::Jack Black|6331::Peter Sarsgaard|6434::Raymond J. Barry|7254::R. Lee Ermey|10699::Lois Smith|11118::Scott Wilson|12030::Robert Prosky|12073::Roberta Maxwell|17220::Michael Cullen
12896	Enemy of the State	1999	16274	90000000	250649836	695::Barry Pepper|1437::Jason Robards|1669::Regina King|1807::Gabriel Byrne|2158::Jason Lee|3958::Gene Hackman|4757::Philip Baker Hall|4772::Seth Green|4776::Jack Black|5083::Will Smith|5085::Jon Voight|6054::Scott Caan|6659::Lisa Bonet|6761::Jake Busey|7293::Loren Dean|8532::Ian Hart|8630::James LeGros|8708::Jamie Kennedy|9566::Larry King|10249::Jascha Washington|10278::Tom Sizemore|13212::Dan Butler|14304::Brian Markinson|15329::Stuart Wilson|15389::Bodhi Elfman|19662::Laura Cayouette
13973	High Fidelity	2000	1526	30000000		340::John Cusack|1275::Todd Louiso|3153::Lili Taylor|4274::Joan Cusack|4776::Jack Black|5917::Catherine Zeta-Jones|6083::Joelle Carter|6514::Tim Robbins|6659::Lisa Bonet|7061::Natasha Gregson Wagner|15395::Drake Bell|17529::Iben Hjejle|17675::Sara Gilbert|24312::Bruce Springsteen|24313::Ian Williams
